Time (UTC),Open,High,Low,Close,Volume 
2024.01.12 04:00:00,78.848,78.853,78.798,78.798,0.01918
2024.01.12 04:05:00,78.793,78.808,78.748,78.778,0.01443
2024.01.12 04:10:00,78.773,78.788,78.723,78.778,0.01902
2024.01.12 04:15:00,78.783,78.783,78.723,78.723,0.01088
2024.01.12 04:20:00,78.728,78.753,78.663,78.678,0.01784
2024.01.12 04:25:00,78.673,78.698,78.643,78.648,0.01961
2024.01.12 04:30:00,78.658,78.688,78.648,78.663,0.00993
2024.01.12 04:35:00,78.648,78.693,78.613,78.688,0.02009
2024.01.12 04:40:00,78.683,78.748,78.678,78.738,0.01392
2024.01.12 04:45:00,78.733,78.768,78.733,78.758,0.00746
2024.01.12 04:50:00,78.753,78.833,78.753,78.793,0.01893
2024.01.12 04:55:00,78.788,78.808,78.773,78.783,0.0113
2024.01.12 05:00:00,78.778,78.793,78.753,78.758,0.0161
2024.01.12 05:05:00,78.763,78.793,78.743,78.783,0.01207
